Year,Datetime,Stage,Stadium,City,Referee,Assistant1,Assistant2,Host,TournamentGoals,QualifiedTeams,TournamentMatches,Winner
2010,25 Jun 2010 - 16:00,Group G,Durban Stadium,Durban,ARCHUNDIA Benito (MEX),VERGARA Hector (CAN),TORRENTERA Marvin (MEX),South Africa,145,32,64,Spain
2010,25 Jun 2010 - 16:00,Group G,Mbombela Stadium,Nelspruit,Alberto UNDIANO MALLENCO (ESP),MARTINEZ Fermin (ESP),YUSTE Juan (ESP),South Africa,145,32,64,Spain
2010,25 Jun 2010 - 20:30,Group H,Loftus Versfeld Stadium,Tshwane/Pretoria,RODRIGUEZ Marco (MEX),CAMARGO Jose Luis (MEX),MORIN Alberto (MEX),South Africa,145,32,64,Spain
2010,25 Jun 2010 - 20:30,Group H,Free State Stadium,Mangaung/Bloemfontein,BALDASSI Hector (ARG),CASAS Ricardo (ARG),MAIDANA Hernan (ARG),South Africa,145,32,64,Spain
2010,26 Jun 2010 - 16:00,Round of 16,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),South Africa,145,32,64,Spain
2010,26 Jun 2010 - 20:30,Round of 16,Royal Bafokeng Sports Palace,Phokeng,KASSAI Viktor (HUN),EROS Gabor (HUN),VAMOS Tibor (HUN),South Africa,145,32,64,Spain
2010,27 Jun 2010 - 16:00,Round of 16,Free State Stadium,Mangaung/Bloemfontein,LARRIONDA Jorge (URU),FANDINO Pablo (URU),ESPINOSA Mauricio (URU),South Africa,145,32,64,Spain
2010,27 Jun 2010 - 20:30,Round of 16,Soccer City Stadium,Johannesburg,ROSETTI Roberto (ITA),CALCAGNO Paolo (ITA),AYROLDI Stefano (ITA),South Africa,145,32,64,Spain
2010,28 Jun 2010 - 16:00,Round of 16,Durban Stadium,Durban,Alberto UNDIANO MALLENCO (ESP),MARTINEZ Fermin (ESP),YUSTE Juan (ESP),South Africa,145,32,64,Spain
2010,28 Jun 2010 - 20:30,Round of 16,Ellis Park Stadium,Johannesburg,WEBB Howard (ENG),Darren CANN (ENG),MULLARKEY Michael (ENG),South Africa,145,32,64,Spain
2010,29 Jun 2010 - 16:00,Round of 16,Loftus Versfeld Stadium,Tshwane/Pretoria,DE BLEECKERE Frank (BEL),HERMANS Peter (BEL),VROMANS Walter (BEL),South Africa,145,32,64,Spain
2010,29 Jun 2010 - 20:30,Round of 16,Cape Town Stadium,Cape Town,BALDASSI Hector (ARG),CASAS Ricardo (ARG),MAIDANA Hernan (ARG),South Africa,145,32,64,Spain
2010,02 Jul 2010 - 16:00,Quarter-finals,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,NISHIMURA Yuichi (JPN),SAGARA Toru (JPN),JEONG Hae Sang (KOR),South Africa,145,32,64,Spain
2010,02 Jul 2010 - 20:30,Quarter-finals,Soccer City Stadium,Johannesburg,Oleg�rio BENQUEREN�A (POR),CARDINAL Jose (POR),MIRANDA Bertino (POR),South Africa,145,32,64,Spain
2010,03 Jul 2010 - 16:00,Quarter-finals,Cape Town Stadium,Cape Town,Ravshan IRMATOV (UZB),ILYASOV Rafael (UZB),KOCHKAROV Bakhadyr (KGZ),South Africa,145,32,64,Spain
2010,03 Jul 2010 - 20:30,Quarter-finals,Ellis Park Stadium,Johannesburg,BATRES Carlos (GUA),LEAL Leonel (CRC),PASTRANA Carlos (HON),South Africa,145,32,64,Spain
2010,06 Jul 2010 - 20:30,Semi-finals,Cape Town Stadium,Cape Town,Ravshan IRMATOV (UZB),ILYASOV Rafael (UZB),KOCHKAROV Bakhadyr (KGZ),South Africa,145,32,64,Spain
2010,07 Jul 2010 - 20:30,Semi-finals,Durban Stadium,Durban,KASSAI Viktor (HUN),EROS Gabor (HUN),VAMOS Tibor (HUN),South Africa,145,32,64,Spain
2010,10 Jul 2010 - 20:30,Match for third place,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,ARCHUNDIA Benito (MEX),VERGARA Hector (CAN),TORRENTERA Marvin (MEX),South Africa,145,32,64,Spain
2010,11 Jul 2010 - 20:30,Final,Soccer City Stadium,Johannesburg,WEBB Howard (ENG),Darren CANN (ENG),MULLARKEY Michael (ENG),South Africa,145,32,64,Spain
2014,12 Jun 2014 - 17:00,Group A,Arena de Sao Paulo,Sao Paulo,NISHIMURA Yuichi (JPN),SAGARA Toru (JPN),NAGI Toshiyuki (JPN),Brazil,171,32,64,Germany
2014,13 Jun 2014 - 13:00,Group A,Estadio das Dunas,Natal,ROLDAN Wilmar (COL),CLAVIJO Humberto (COL),DIAZ Eduardo (COL),Brazil,171,32,64,Germany
2014,13 Jun 2014 - 16:00,Group B,Arena Fonte Nova,Salvador,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),Brazil,171,32,64,Germany
2014,13 Jun 2014 - 18:00,Group B,Arena Pantanal,Cuiaba,Noumandiez DOUE (CIV),YEO Songuifolo (CIV),BIRUMUSHAHU Jean Claude (BDI),Brazil,171,32,64,Germany
2014,14 Jun 2014 - 13:00,Group C,Estadio Mineirao,Belo Horizonte,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),Brazil,171,32,64,Germany
2014,14 Jun 2014 - 16:00,Group D,Estadio Castelao,Fortaleza,BRYCH Felix (GER),BORSCH Mark (GER),LUPP Stefan (GER),Brazil,171,32,64,Germany
2014,14 Jun 2014 - 18:00,Group D,Arena Amazonia,Manaus,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),Brazil,171,32,64,Germany
2014,14 Jun 2014 - 22:00,Group C,Arena Pernambuco,Recife,OSSES Enrique (CHI),ASTROZA Carlos (CHI),ROMAN Sergio (CHI),Brazil,171,32,64,Germany
2014,15 Jun 2014 - 13:00,Group E,Estadio Nacional,Brasilia,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),Brazil,171,32,64,Germany
2014,15 Jun 2014 - 16:00,Group E,Estadio Beira-Rio,Porto Alegre,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),Brazil,171,32,64,Germany
2014,15 Jun 2014 - 19:00,Group F,Estadio do Maracana,Rio De Janeiro,AGUILAR Joel (SLV),TORRES William (SLV),ZUMBA Juan (SLV),Brazil,171,32,64,Germany
2014,16 Jun 2014 - 13:00,Group G,Arena Fonte Nova,Salvador,MAZIC Milorad (SRB),RISTIC Milovan (SRB),DJURDJEVIC Dalibor (SRB),Brazil,171,32,64,Germany
2014,16 Jun 2014 - 16:00,Group F,Arena da Baixada,Curitiba,VERA Carlos (ECU),LESCANO Christian (ECU),ROMERO Byron (ECU),Brazil,171,32,64,Germany
2014,16 Jun 2014 - 19:00,Group G,Estadio das Dunas,Natal,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),Brazil,171,32,64,Germany
2014,17 Jun 2014 - 13:00,Group H,Estadio Mineirao,Belo Horizonte,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),Brazil,171,32,64,Germany
2014,17 Jun 2014 - 16:00,Group A,Estadio Castelao,Fortaleza,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),Brazil,171,32,64,Germany
2014,17 Jun 2014 - 18:00,Group H,Arena Pantanal,Cuiaba,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),Brazil,171,32,64,Germany
2014,18 Jun 2014 - 13:00,Group B,Estadio Beira-Rio,Porto Alegre,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),Brazil,171,32,64,Germany
2014,18 Jun 2014 - 16:00,Group B,Estadio do Maracana,Rio De Janeiro,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),Brazil,171,32,64,Germany
2014,18 Jun 2014 - 18:00,Group A,Arena Amazonia,Manaus,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),Brazil,171,32,64,Germany
2014,19 Jun 2014 - 13:00,Group C,Estadio Nacional,Brasilia,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),Brazil,171,32,64,Germany
2014,19 Jun 2014 - 16:00,Group D,Arena de Sao Paulo,Sao Paulo,Carlos VELASCO CARBALLO (ESP),ALONSO FERNANDEZ Roberto (ESP),YUSTE Juan (ESP),Brazil,171,32,64,Germany
2014,19 Jun 2014 - 19:00,Group C,Estadio das Dunas,Natal,AGUILAR Joel (SLV),TORRES William (SLV),ZUMBA Juan (SLV),Brazil,171,32,64,Germany
2014,20 Jun 2014 - 13:00,Group D,Arena Pernambuco,Recife,OSSES Enrique (CHI),ASTROZA Carlos (CHI),ROMAN Sergio (CHI),Brazil,171,32,64,Germany
2014,20 Jun 2014 - 16:00,Group E,Arena Fonte Nova,Salvador,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),Brazil,171,32,64,Germany
2014,20 Jun 2014 - 19:00,Group E,Arena da Baixada,Curitiba,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),Brazil,171,32,64,Germany
2014,21 Jun 2014 - 13:00,Group F,Estadio Mineirao,Belo Horizonte,MAZIC Milorad (SRB),RISTIC Milovan (SRB),DJURDJEVIC Dalibor (SRB),Brazil,171,32,64,Germany
2014,21 Jun 2014 - 16:00,Group G,Estadio Castelao,Fortaleza,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),Brazil,171,32,64,Germany
2014,21 Jun 2014 - 18:00,Group F,Arena Pantanal,Cuiaba,Peter O'LEARY (NZL),HINTZ Jan Hendrik (NZL),RULE Mark (NZL),Brazil,171,32,64,Germany
2014,22 Jun 2014 - 13:00,Group H,Estadio do Maracana,Rio De Janeiro,BRYCH Felix (GER),BORSCH Mark (GER),LUPP Stefan (GER),Brazil,171,32,64,Germany
2014,22 Jun 2014 - 16:00,Group H,Estadio Beira-Rio,Porto Alegre,ROLDAN Wilmar (COL),DIAZ Eduardo (COL),LESCANO Christian (ECU),Brazil,171,32,64,Germany
2014,22 Jun 2014 - 18:00,Group G,Arena Amazonia,Manaus,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),Brazil,171,32,64,Germany
2014,23 Jun 2014 - 13:00,Group B,Arena da Baixada,Curitiba,SHUKRALLA Nawaf (BHR),TULEFAT Yaser (BHR),SALEH Ebrahim (BHR),Brazil,171,32,64,Germany
2014,23 Jun 2014 - 13:00,Group B,Arena de Sao Paulo,Sao Paulo,Bakary GASSAMA (GAM),MENKOUANDE Evarist (CMR),KABANDA Felicien (RWA),Brazil,171,32,64,Germany
2014,23 Jun 2014 - 17:00,Group A,Estadio Nacional,Brasilia,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),Brazil,171,32,64,Germany
2014,23 Jun 2014 - 17:00,Group A,Arena Pernambuco,Recife,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),Brazil,171,32,64,Germany
2014,24 Jun 2014 - 13:00,Group D,Estadio das Dunas,Natal,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),Brazil,171,32,64,Germany
2014,24 Jun 2014 - 13:00,Group D,Estadio Mineirao,Belo Horizonte,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),Brazil,171,32,64,Germany
2014,24 Jun 2014 - 16:00,Group C,Arena Pantanal,Cuiaba,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),Brazil,171,32,64,Germany
2014,24 Jun 2014 - 17:00,Group C,Estadio Castelao,Fortaleza,VERA Carlos (ECU),LESCANO Christian (ECU),ROMERO Byron (ECU),Brazil,171,32,64,Germany
2014,25 Jun 2014 - 13:00,Group F,Estadio Beira-Rio,Porto Alegre,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),Brazil,171,32,64,Germany
2014,25 Jun 2014 - 13:00,Group F,Arena Fonte Nova,Salvador,Carlos VELASCO CARBALLO (ESP),ALONSO FERNANDEZ Roberto (ESP),YUSTE Juan (ESP),Brazil,171,32,64,Germany
2014,25 Jun 2014 - 16:00,Group E,Arena Amazonia,Manaus,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),Brazil,171,32,64,Germany
2014,25 Jun 2014 - 17:00,Group E,Estadio do Maracana,Rio De Janeiro,Noumandiez DOUE (CIV),YEO Songuifolo (CIV),BIRUMUSHAHU Jean Claude (BDI),Brazil,171,32,64,Germany
2014,26 Jun 2014 - 13:00,Group G,Arena Pernambuco,Recife,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),Brazil,171,32,64,Germany
2014,26 Jun 2014 - 13:00,Group G,Estadio Nacional,Brasilia,SHUKRALLA Nawaf (BHR),TULEFAT Yaser (BHR),SALEH Ebrahim (BHR),Brazil,171,32,64,Germany
2014,26 Jun 2014 - 17:00,Group H,Arena de Sao Paulo,Sao Paulo,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),Brazil,171,32,64,Germany
2014,26 Jun 2014 - 17:00,Group H,Arena da Baixada,Curitiba,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),Brazil,171,32,64,Germany
2014,28 Jun 2014 - 13:00,Round of 16,Estadio Mineirao,Belo Horizonte,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),Brazil,171,32,64,Germany
2014,28 Jun 2014 - 17:00,Round of 16,Estadio do Maracana,Rio De Janeiro,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),Brazil,171,32,64,Germany
2014,30 Jun 2014 - 13:00,Round of 16,Estadio Nacional,Brasilia,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),Brazil,171,32,64,Germany
2014,30 Jun 2014 - 17:00,Round of 16,Estadio Beira-Rio,Porto Alegre,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),Brazil,171,32,64,Germany
2014,04 Jul 2014 - 17:00,Quarter-finals,Estadio Castelao,Fortaleza,Carlos VELASCO CARBALLO (ESP),ALONSO FERNANDEZ Roberto (ESP),YUSTE Juan (ESP),Brazil,171,32,64,Germany
2014,04 Jul 2014 - 13:00,Quarter-finals,Estadio do Maracana,Rio De Janeiro,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),Brazil,171,32,64,Germany
2014,08 Jul 2014 - 17:00,Semi-finals,Estadio Mineirao,Belo Horizonte,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),Brazil,171,32,64,Germany
2014,12 Jul 2014 - 17:00,Play-off for third place,Estadio Nacional,Brasilia,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),Brazil,171,32,64,Germany
2014,13 Jul 2014 - 16:00,Final,Estadio do Maracana,Rio De Janeiro,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),Brazil,171,32,64,Germany
2014,09 Jul 2014 - 17:00,Semi-finals,Arena de Sao Paulo,Sao Paulo,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),Brazil,171,32,64,Germany
2014,05 Jul 2014 - 17:00,Quarter-finals,Arena Fonte Nova,Salvador,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),Brazil,171,32,64,Germany
2014,05 Jul 2014 - 13:00,Quarter-finals,Estadio Nacional,Brasilia,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),Brazil,171,32,64,Germany
2014,29 Jun 2014 - 13:00,Round of 16,Estadio Castelao,Fortaleza,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),Brazil,171,32,64,Germany
2014,29 Jun 2014 - 17:00,Round of 16,Arena Pernambuco,Recife,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),Brazil,171,32,64,Germany
2014,01 Jul 2014 - 13:00,Round of 16,Arena de Sao Paulo,Sao Paulo,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),Brazil,171,32,64,Germany
2014,01 Jul 2014 - 17:00,Round of 16,Arena Fonte Nova,Salvador,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),Brazil,171,32,64,Germany
2014,28 Jun 2014 - 13:00,Round of 16,Estadio Mineirao,Belo Horizonte,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),Brazil,171,32,64,Germany
2014,28 Jun 2014 - 17:00,Round of 16,Estadio do Maracana,Rio De Janeiro,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),Brazil,171,32,64,Germany
2014,29 Jun 2014 - 13:00,Round of 16,Estadio Castelao,Fortaleza,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),Brazil,171,32,64,Germany
2014,29 Jun 2014 - 17:00,Round of 16,Arena Pernambuco,Recife,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),Brazil,171,32,64,Germany
2014,30 Jun 2014 - 13:00,Round of 16,Estadio Nacional,Brasilia,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),Brazil,171,32,64,Germany
2014,30 Jun 2014 - 17:00,Round of 16,Estadio Beira-Rio,Porto Alegre,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),Brazil,171,32,64,Germany
2014,01 Jul 2014 - 13:00,Round of 16,Arena de Sao Paulo,Sao Paulo,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),Brazil,171,32,64,Germany
2014,01 Jul 2014 - 17:00,Round of 16,Arena Fonte Nova,Salvador,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),Brazil,171,32,64,Germany
2014,04 Jul 2014 - 13:00,Quarter-finals,Estadio do Maracana,Rio De Janeiro,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),Brazil,171,32,64,Germany
2014,04 Jul 2014 - 17:00,Quarter-finals,Estadio Castelao,Fortaleza,Carlos VELASCO CARBALLO (ESP),ALONSO FERNANDEZ Roberto (ESP),YUSTE Juan (ESP),Brazil,171,32,64,Germany
2014,05 Jul 2014 - 13:00,Quarter-finals,Estadio Nacional,Brasilia,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),Brazil,171,32,64,Germany
2014,05 Jul 2014 - 17:00,Quarter-finals,Arena Fonte Nova,Salvador,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),Brazil,171,32,64,Germany
2014,08 Jul 2014 - 17:00,Semi-finals,Estadio Mineirao,Belo Horizonte,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),Brazil,171,32,64,Germany
2014,09 Jul 2014 - 17:00,Semi-finals,Arena de Sao Paulo,Sao Paulo,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),Brazil,171,32,64,Germany
2014,12 Jul 2014 - 17:00,Play-off for third place,Estadio Nacional,Brasilia,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),Brazil,171,32,64,Germany
2014,13 Jul 2014 - 16:00,Final,Estadio do Maracana,Rio De Janeiro,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),Brazil,171,32,64,Germany
2018,14 Jun 2018 - 18:00,Group A,Luzhniki Stadium,Moscow,NÉSTOR Pitana (Argentina),,,Russia,169,32,64,France
2018,15 Jun 2018 - 17:00,Group A,Central Stadium,Yekaterinburg,BJÖRN Kuipers (Netherlands),,,Russia,169,32,64,France
2018,15 Jun 2018 - 18:00,Group B,Krestovsky Stadium,Saint Petersburg,CÜNEYT Çakır (Turkey),,,Russia,169,32,64,France
2018,15 Jun 2018 - 21:00,Group B,Fisht Olympic Stadium,Sochi,GIANLUCA Rocchi (Italy),,,Russia,169,32,64,France
2018,16 Jun 2018 - 13:00,Group C,Kazan Arena,Kazan,ANDRÉS Cunha (Uruguay),,,Russia,169,32,64,France
2018,16 Jun 2018 - 16:00,Group D,Otkritie Arena,Moscow,SZYMON Marciniak (Poland),,,Russia,169,32,64,France
2018,16 Jun 2018 - 19:00,Group C,Mordovia Arena,Saransk,BAKARY Gassama (Gambia),,,Russia,169,32,64,France
2018,16 Jun 2018 - 21:00,Group D,Kaliningrad Stadium,Kaliningrad,SANDRO Ricci (Brazil),,,Russia,169,32,64,France
2018,17 Jun 2018 - 16:00,Group E,Samara Arena,Samara,MALANG Diedhiou (Senegal),,,Russia,169,32,64,France
2018,17 Jun 2018 - 18:00,Group F,Luzhniki Stadium,Moscow,ALIREZA Faghani (Iran),,,Russia,169,32,64,France
2018,17 Jun 2018 - 21:00,Group E,Rostov Arena,Rostov-on-Don,CÉSAR ARTURO Ramos (Mexico),,,Russia,169,32,64,France
2018,18 Jun 2018 - 15:00,Group F,Nizhny Novgorod Stadium,Nizhny Novgorod,JOEL Aguilar (El Salvador),,,Russia,169,32,64,France
2018,18 Jun 2018 - 18:00,Group G,Fisht Olympic Stadium,Sochi,JANNY Sikazwe (Zambia),,,Russia,169,32,64,France
2018,18 Jun 2018 - 21:00,Group G,Volgograd Arena,Volgograd,WILMAR Roldán (Colombia),,,Russia,169,32,64,France
2018,19 Jun 2018 - 15:00,Group H,Mordovia Arena,Saransk,DAMIR Skomina (Slovenia),,,Russia,169,32,64,France
2018,19 Jun 2018 - 18:00,Group H,Otkritie Arena,Moscow,NAWAF Shukralla (Bahrain),,,Russia,169,32,64,France
2018,19 Jun 2018 - 21:00,Group A,Krestovsky Stadium,Saint Petersburg,ENRIQUE Cáceres (Paraguay),,,Russia,169,32,64,France
2018,20 Jun 2018 - 15:00,Group B,Luzhniki Stadium,Moscow,MARK Geiger (United States),,,Russia,169,32,64,France
2018,20 Jun 2018 - 18:00,Group A,Rostov Arena,Rostov-on-Don,CLÉMENT Turpin (France),,,Russia,169,32,64,France
2018,20 Jun 2018 - 21:00,Group B,Kazan Arena,Kazan,ANDRÉS Cunha (Uruguay),,,Russia,169,32,64,France
2018,21 Jun 2018 - 16:00,Group C,Samara Arena,Samara,ANTONIO Mateu Lahoz (Spain),,,Russia,169,32,64,France
2018,21 Jun 2018 - 20:00,Group C,Central Stadium,Yekaterinburg,MOHAMMED ABDULLA Hassan Mohamed (United Arab Emirates),,,Russia,169,32,64,France
2018,21 Jun 2018 - 21:00,Group D,Nizhny Novgorod Stadium,Nizhny Novgorod,RAVSHAN Irmatov (Uzbekistan),,,Russia,169,32,64,France
2018,22 Jun 2018 - 15:00,Group E,Krestovsky Stadium,Saint Petersburg,BJÖRN Kuipers (Netherlands),,,Russia,169,32,64,France
2018,22 Jun 2018 - 18:00,Group D,Volgograd Arena,Volgograd,MATTHEW Conger (New Zealand),,,Russia,169,32,64,France
2018,22 Jun 2018 - 20:00,Group E,Kaliningrad Stadium,Kaliningrad,FELIX Brych (Germany),,,Russia,169,32,64,France
2018,23 Jun 2018 - 15:00,Group G,Otkritie Arena,Moscow,JAIR Marrufo (United States),,,Russia,169,32,64,France
2018,23 Jun 2018 - 18:00,Group F,Rostov Arena,Rostov-on-Don,MILORAD Mažić (Serbia),,,Russia,169,32,64,France
2018,23 Jun 2018 - 21:00,Group F,Fisht Olympic Stadium,Sochi,SZYMON Marciniak (Poland),,,Russia,169,32,64,France
2018,24 Jun 2018 - 15:00,Group G,Nizhny Novgorod Stadium,Nizhny Novgorod,GEHAD Grisha (Egypt),,,Russia,169,32,64,France
2018,24 Jun 2018 - 20:00,Group H,Central Stadium,Yekaterinburg,GIANLUCA Rocchi (Italy),,,Russia,169,32,64,France
2018,24 Jun 2018 - 21:00,Group H,Kazan Arena,Kazan,CÉSAR ARTURO Ramos (Mexico),,,Russia,169,32,64,France
2018,25 Jun 2018 - 17:00,Group A,Volgograd Arena,Volgograd,WILMAR Roldán (Colombia),,,Russia,169,32,64,France
2018,25 Jun 2018 - 18:00,Group A,Samara Arena,Samara,MALANG Diedhiou (Senegal),,,Russia,169,32,64,France
2018,25 Jun 2018 - 20:00,Group B,Kaliningrad Stadium,Kaliningrad,RAVSHAN Irmatov (Uzbekistan),,,Russia,169,32,64,France
2018,25 Jun 2018 - 21:00,Group B,Mordovia Arena,Saransk,ENRIQUE Cáceres (Paraguay),,,Russia,169,32,64,France
2018,26 Jun 2018 - 17:00,Group C,Fisht Olympic Stadium,Sochi,SERGEI Karasev (Russia),,,Russia,169,32,64,France
2018,26 Jun 2018 - 17:00,Group C,Luzhniki Stadium,Moscow,SANDRO Ricci (Brazil),,,Russia,169,32,64,France
2018,26 Jun 2018 - 21:00,Group D,Rostov Arena,Rostov-on-Don,ANTONIO Mateu Lahoz (Spain),,,Russia,169,32,64,France
2018,26 Jun 2018 - 21:00,Group D,Krestovsky Stadium,Saint Petersburg,CÜNEYT Çakır (Turkey),,,Russia,169,32,64,France
2018,27 Jun 2018 - 17:00,Group F,Kazan Arena,Kazan,MARK Geiger (United States),,,Russia,169,32,64,France
2018,27 Jun 2018 - 19:00,Group F,Central Stadium,Yekaterinburg,NÉSTOR Pitana (Argentina),,,Russia,169,32,64,France
2018,27 Jun 2018 - 21:00,Group E,Otkritie Arena,Moscow,ALIREZA Faghani (Iran),,,Russia,169,32,64,France
2018,27 Jun 2018 - 21:00,Group E,Nizhny Novgorod Stadium,Nizhny Novgorod,CLÉMENT Turpin (France),,,Russia,169,32,64,France
2018,28 Jun 2018 - 17:00,Group H,Volgograd Arena,Volgograd,JANNY Sikazwe (Zambia),,,Russia,169,32,64,France
2018,28 Jun 2018 - 18:00,Group H,Samara Arena,Samara,MILORAD Mažić (Serbia),,,Russia,169,32,64,France
2018,28 Jun 2018 - 20:00,Group G,Kaliningrad Stadium,Kaliningrad,DAMIR Skomina (Slovenia),,,Russia,169,32,64,France
2018,28 Jun 2018 - 21:00,Group G,Mordovia Arena,Saransk,NAWAF Shukralla (Bahrain),,,Russia,169,32,64,France
2018,30 Jun 2018 - 17:00,Round of 16,Kazan Arena,Kazan,ALIREZA Faghani (Iran),,,Russia,169,32,64,France
2018,30 Jun 2018 - 21:00,Round of 16,Fisht Olympic Stadium,Sochi,CÉSAR ARTURO Ramos (Mexico),,,Russia,169,32,64,France
2018,01 Jul 2018 - 17:00,Round of 16,Luzhniki Stadium,Moscow,BJÖRN Kuipers (Netherlands),,,Russia,169,32,64,France
2018,01 Jul 2018 - 21:00,Round of 16,Nizhny Novgorod Stadium,Nizhny Novgorod,NÉSTOR Pitana (Argentina),,,Russia,169,32,64,France
2018,02 Jul 2018 - 18:00,Round of 16,Samara Arena,Samara,GIANLUCA Rocchi (Italy),,,Russia,169,32,64,France
2018,02 Jul 2018 - 21:00,Round of 16,Rostov Arena,Rostov-on-Don,MALANG Diedhiou (Senegal),,,Russia,169,32,64,France
2018,03 Jul 2018 - 17:00,Round of 16,Krestovsky Stadium,Saint Petersburg,DAMIR Skomina (Slovenia),,,Russia,169,32,64,France
